Sample	mRNAsi
MMRF_2550_1_BM_CD138pos_T2_TSMRU_L12427	0.64136344304182
MMRF_2816_1_BM_CD138pos_T2_TSMRU_L16044	0.51455076729507
MMRF_1537_1_BM_CD138pos_T2_TSMRU_L05998	0.0514119894818266
MMRF_1455_1_BM_CD138pos_T1_TSMRU_L13139	0.250640065062484
MMRF_1786_1_BM_CD138pos_T2_TSMRU_L05245	0.501312104466062
MMRF_1936_1_BM_CD138pos_T2_TSMRU_L06662	0.937946376302245
MMRF_2719_1_BM_CD138pos_T3_TSMRU_L14568	0.494320666940939
MMRF_2695_1_BM_CD138pos_T3_TSMRU_L14479	0.564496392558553
MMRF_2225_1_BM_CD138pos_T3_TSMRU_L10265	0.603166142334982
MMRF_2151_1_BM_CD138pos_T3_TSMRU_L07663	0.527344221447832
MMRF_1603_1_BM_CD138pos_T3_TSMRU_L03467	0.557282338644669
MMRF_2002_1_BM_CD138pos_T3_TSMRU_L07198	0.613727429126506
MMRF_1985_1_BM_CD138pos_T2_TSMRU_L06645	0.408004990214001
MMRF_2795_1_BM_CD138pos_T2_TSMRU_L16036	0.398343050226241
MMRF_1534_1_BM_CD138pos_T3_TSMRU_L03446	0.510527903585605
MMRF_2118_1_BM_CD138pos_T3_TSMRU_L07643	0.590004333676734
MMRF_2267_1_BM_CD138pos_T2_TSMRU_L09789	0.564958655975776
MMRF_1915_1_BM_CD138pos_T2_TSMRU_L06648	0.531557765782255
MMRF_2776_1_BM_CD138pos_T2_TSMRU_L16026	0.371452451501872
MMRF_1447_1_BM_CD138pos_T3_TSMRU_L01325	0.625189197411814
MMRF_2079_1_BM_CD138pos_T3_TSMRU_L07651	0.499707369328745
MMRF_2427_1_BM_CD138pos_T2_TSMRU_L11507	0.691756415105992
MMRF_2238_1_BM_CD138pos_T2_TSMRU_L09790	0.409894515769223
MMRF_2183_1_BM_CD138pos_T2_TSMRU_L08447	0.723271102649275
MMRF_2224_1_BM_CD138pos_T3_TSMRU_L10264	0.446169660640249
MMRF_2498_1_BM_CD138pos_T2_TSMRU_L11534	0.654318360388035
MMRF_2368_1_BM_CD138pos_T3_TSMRU_L10283	0.396055764314666
MMRF_2173_1_BM_CD138pos_T2_TSMRU_L08177	0.493738659272247
MMRF_1289_1_BM_CD138pos_T1_TSMRU_L13129	0.68136049931204
MMRF_2438_1_BM_CD138pos_T2_TSMRU_L11501	0.726041215921409
MMRF_1886_1_BM_CD138pos_T2_TSMRU_L05346	0.527694154985686
MMRF_1556_1_BM_CD138pos_T2_TSMRU_L02839	0.418190962746661
MMRF_2475_1_BM_CD138pos_T2_TSMRU_L11524	0.471279366161346
MMRF_1778_1_BM_CD138pos_T4_TSMRU_L04993	0.562190611231498
MMRF_2539_1_BM_CD138pos_T2_TSMRU_L12438	0.375631845565614
MMRF_2583_1_BM_CD138pos_T2_TSMRU_L12676	0.475491327670134
MMRF_2541_1_BM_CD138pos_T2_TSMRU_L12426	0.919860212663517
MMRF_2043_1_BM_CD138pos_T3_TSMRU_L07636	0.602851387886956
MMRF_1584_1_BM_CD138pos_T1_TSMRU_L05243	0.248293433974133
MMRF_1151_1_BM_CD138pos_T2_TSMRU_K03094	0.578588975298835
MMRF_2039_1_BM_CD138pos_T2_TSMRU_L08169	0.670948592476368
MMRF_1324_1_BM_CD138pos_T3_TSMRU_L01339	0.537130456122736
MMRF_1766_1_BM_CD138pos_T2_TSMRU_L05317	0.597478768430352
MMRF_1195_1_BM_CD138pos_T2_TSMRU_K03393	0.714732561700083
MMRF_1815_1_BM_CD138pos_T3_TSMRU_L05005	0.652173292831299
MMRF_1695_1_BM_CD138pos_T2_TSMRU_L04563	0.509399389913851
MMRF_1613_1_BM_CD138pos_T2_TSMRU_L03888	0.614945221699095
MMRF_1700_1_BM_CD138pos_T2_TSMRU_L05244	0.533094353577759
MMRF_2485_1_BM_CD138pos_T2_TSMRU_L11531	0.58101764879408
MMRF_1323_1_BM_CD138pos_T3_TSMRU_L01035	0.725315794308402
MMRF_2691_1_BM_CD138pos_T3_TSMRU_L14570	0.439650974641474
MMRF_1891_1_BM_CD138pos_T2_TSMRU_L06640	0.532633369970856
MMRF_2772_1_BM_CD138pos_T2_TSMRU_L16024	0.261773519961227
MMRF_2813_1_BM_CD138pos_T2_TSMRU_L16041	0.427774426994303
MMRF_2006_1_BM_CD138pos_T3_TSMRU_L07176	0.511146729924238
MMRF_1179_1_BM_CD138pos_T2_TSMRU_K03388	0.579630988942244
MMRF_2214_1_BM_CD138pos_T2_TSMRU_L08184	0.615732487227649
MMRF_2331_1_BM_CD138pos_T3_TSMRU_L10060	0.536955337382585
MMRF_1300_1_BM_CD138pos_T3_TSMRU_L01038	0.536999500477243
MMRF_1810_1_BM_CD138pos_T3_TSMRU_L05004	0.505307697828664
MMRF_2543_1_BM_CD138pos_T2_TSMRU_L12688	0.464778298785526
MMRF_1293_1_BM_CD138pos_T3_TSMRU_L01347	0.603753721326292
MMRF_1285_1_BM_CD138pos_T2_TSMRU_K03702	0.613857817158759
MMRF_1911_1_BM_CD138pos_T2_TSMRU_L06641	0.449203238760896
MMRF_1539_1_BM_CD138pos_T3_TSMRU_L03447	0.648972795792944
MMRF_1862_1_BM_CD138pos_T2_TSMRU_L06653	0.590805621928571
MMRF_2271_1_BM_CD138pos_T2_TSMRU_L09793	0.520806106059697
MMRF_1644_1_BM_CD138pos_T2_TSMRU_L04230	0.718746023047633
MMRF_2526_1_BM_CD138pos_T2_TSMRU_L12687	0.672003196772928
MMRF_1462_1_BM_CD138pos_T1_TSMRU_L02343	0.427676915403672
MMRF_2613_1_BM_CD138pos_T2_TSMRU_L12697	0.689131277710692
MMRF_2754_1_BM_CD138pos_T2_TSMRU_L14987	0.365011087114695
MMRF_2125_1_BM_CD138pos_T4_TSMRU_L07661	0.542956984479169
MMRF_2829_1_BM_CD138pos_T3_TSMRU_L16375	0.448435498743863
MMRF_2228_1_BM_CD138pos_T2_TSMRU_L09785	0.512359630777179
MMRF_1365_1_BM_CD138pos_T3_TSMRU_L00811	0.457209714576508
MMRF_1694_1_BM_CD138pos_T2_TSMRU_L04577	0.495114307167881
MMRF_2197_1_BM_CD138pos_T2_TSMRU_L08187	0.369359427900594
MMRF_1274_1_BM_CD138pos_T2_TSMRU_K03703	0.624746685233596
MMRF_2018_1_BM_CD138pos_T3_TSMRU_L07185	0.541053504519504
MMRF_2745_1_BM_CD138pos_T2_TSMRU_L15003	0.45242651653895
MMRF_2102_1_BM_CD138pos_T2_TSMRU_L08174	0.573075263044308
MMRF_2734_1_BM_CD138pos_T2_TSMRU_L14992	0.452486780326311
MMRF_2737_1_BM_CD138pos_T2_TSMRU_L14993	0.470200000201733
MMRF_1831_1_BM_CD138pos_T3_TSMRU_L05010	0.569137381882979
MMRF_2827_1_BM_CD138pos_T3_TSMRU_L16371	0.572038780197477
MMRF_1618_1_BM_CD138pos_T2_TSMRU_L03891	0.601487551743057
MMRF_2601_1_BM_CD138pos_T2_TSMRU_L12695	0.534635243439277
MMRF_1880_1_BM_CD138pos_T2_TSMRU_L06635	0.614725608600682
MMRF_1565_1_BM_CD138pos_T2_TSMRU_L05328	0.425047463933295
MMRF_2204_1_BM_CD138pos_T3_TSMRU_L08445	0.541404716796235
MMRF_1668_1_BM_CD138pos_T2_TSMRU_L04236	0.701518396993177
MMRF_1895_1_BM_CD138pos_T2_TSMRU_L05994	0.601774400356798
MMRF_2751_1_BM_CD138pos_T2_TSMRU_L15007	0.486326207535433
MMRF_2107_1_BM_CD138pos_T3_TSMRU_L07657	0.537860372712236
MMRF_2251_1_BM_CD138pos_T2_TSMRU_L09787	0.844113589458238
MMRF_2215_1_BM_CD138pos_T3_TSMRU_L10051	0.498772700275479
MMRF_2471_1_BM_CD138pos_T2_TSMRU_L11508	0.466075445888429
MMRF_1923_1_BM_CD138pos_T3_TSMRU_L07633	0.426850048181808
MMRF_1216_1_BM_CD138pos_T3_TSMRU_L01348	0.492246179907415
MMRF_1320_1_BM_CD138pos_T3_TSMRU_L01046	0.920209146611316
MMRF_2286_1_BM_CD138pos_T3_TSMRU_L10056	0.632804113723386
MMRF_2143_1_BM_CD138pos_T2_TSMRU_L08158	0.337352828723702
MMRF_1988_1_BM_CD138pos_T2_TSMRU_L14984	0.496578560687256
MMRF_2614_1_BM_CD138pos_T2_TSMRU_L12522	0.505202355948202
MMRF_2524_1_BM_CD138pos_T2_TSMRU_L12430	0.463171041106019
MMRF_1538_1_BM_CD138pos_T2_TSMRU_L02838	0.645035217654771
MMRF_2076_1_BM_CD138pos_T3_TSMRU_L07652	0.767321047933081
MMRF_1352_1_BM_CD138pos_T3_TSMRU_L00397	0.469137795478394
MMRF_2676_1_BM_CD138pos_T2_TSMRU_L13885	0.499132594828323
MMRF_2457_1_BM_CD138pos_T2_TSMRU_L11505	0.498713090492429
MMRF_2548_1_BM_CD138pos_T2_TSMRU_L12449	0.516466871094011
MMRF_1744_1_BM_CD138pos_T2_TSMRU_L04573	0.527289941929891
MMRF_2317_1_BM_CD138pos_T3_TSMRU_L10277	0.409970703009211
MMRF_2596_1_BM_CD138pos_T2_TSMRU_L12667	0.540022681950915
MMRF_1577_1_BM_CD138pos_T3_TSMRU_L03456	0.664820512507013
MMRF_1656_1_BM_CD138pos_T2_TSMRU_L04234	0.717439498401271
MMRF_1260_1_BM_CD138pos_T3_TSMRU_L01041	0.33096252189845
MMRF_1808_1_BM_CD138pos_T3_TSMRU_L05003	0.347488731932898
MMRF_1164_1_BM_CD138pos_T1_TSMRU_L02340	0.396981032568041
MMRF_2489_1_BM_CD138pos_T2_TSMRU_L11533	0.562875758411316
MMRF_1231_1_BM_CD138pos_T2_TSMRU_L00031	0.460456950804611
MMRF_2119_1_BM_CD138pos_T3_TSMRU_L07660	0.627128175563933
MMRF_1380_1_BM_CD138pos_T3_TSMRU_L00398	0.499956247345466
MMRF_2087_1_BM_CD138pos_T3_TSMRU_L07654	0.491684880727589
MMRF_2574_1_BM_CD138pos_T2_TSMRU_L12664	0.681664545462739
